year	period	no.ice	doy	enso	co2	sunspots	air.t.as	aod	reff
1886	2	NA	NA	-0.657	290.7177	25.5	14.778	0.045	0.36
1887	2	NA	NA	-2.015	291.1308	13.1	14.564	0.016	0.25
1888	2	NA	NA	0.906	291.5924	6.7	13.141	0.004	0.2
1889	2	1	NA	0.403	292.0939	6.2	15.01	0	0.2
1890	2	NA	NA	-0.347	292.6254	7.1	15.42	0.004	0.2
1891	2	NA	NA	1.696	293.1724	35.7	14.434	0.001	0.2
1892	2	NA	NA	0.17	293.7193	73	14.545	0.004	0.2
1893	2	NA	NA	-1.576	294.2504	85.2	14.294	0.001	0.2
1894	2	NA	NA	-1.058	294.7501	78	14.88	0	0.2
1895	2	NA	NA	0.611	295.1982	63.9	15.596	0	0.2
1896	2	NA	NA	-0.905	295.5566	41.7	15.01	0	0.2
1897	2	0	-6	1.236	295.7951	26.2	14.275	0	0.2
1898	2	0	17	1.147	295.9337	26.7	14.554	0.007	0.2
1899	2	0	8	-1.024	296.005	12.1	14.434	0.002	0.2
1900	2	0	18	-0.048	296.042	9.4	15.02	0	0.2
1901	2	0	-1	0.474	296.0795	2.7	14.852	0	0.2
1902	2	0	14	-2.025	296.1529	5.1	14.945	0.004	0.2
1903	2	0	-10	1.746	296.2935	24.4	14.843	0.069	0.41
1904	2	0	-7	-2.409	296.5177	42.1	14.982	0.038	0.34
1905	2	0	15	1.102	296.8311	63.3	14.443	0.014	0.24
1906	2	0	-2	0.763	297.2125	54.1	14.731	0.005	0.2
1907	2	0	-8	1.277	297.6338	61.7	15.01	0.013	0.24
1908	2	0	1	0.441	298.0673	48.5	14.629	0.006	0.2
1909	2	0	-5	-0.058	298.4849	43.9	15.057	0.001	0.2
1910	2	0	2	-1.815	298.8677	18.5	14.731	0	0.2
1911	2	0	3	-0.982	299.2334	5.7	14.806	0	0.2
1912	2	0	1	0.784	299.6083	3.6	14.517	0.031	0.32
1913	2	0	7	-0.186	300.0134	1.4	14.396	0.029	0.31
1914	2	0	9	1.151	300.4466	9.6	14.992	0.006	0.2
1915	2	1	NA	1.106	300.8996	47.4	14.852	0.001	0.2
1916	2	NA	NA	-0.057	301.3623	57	15.41	0.009	0.21
1917	2	0	-9	-0.905	301.8241	104.2	13.671	0.003	0.2
1918	2	0	5	-1.828	302.2744	80.8	14.071	0.001	0.2
1919	2	0	25	0.684	302.7027	63.5	14.201	0	0.2
1920	2	0	7	1.404	303.1019	37.6	15.224	0	0.2
1921	2	0	4	0.461	303.4792	26.1	15.113	0.005	0.2
1922	2	0	-12	-0.819	303.8453	14.2	13.959	0.001	0.2
1923	2	0	23	-0.129	304.2108	5.8	15.094	0	0.2
1924	2	0	14	0.652	304.5818	16.7	14.694	0.011	0.23
1925	2	0	2	-2.262	304.9478	44.4	15.401	0.005	0.2
1926	2	0	-6	1.012	305.3054	63.9	14.099	0.001	0.2
1927	2	0	3	0.771	305.6541	68.8	14.536	0	0.2
1928	2	0	-1	0.217	305.9935	77.8	15.131	0	0.2
1929	2	0	8	-0.855	306.3231	64.9	14.043	0.002	0.2
1930	2	0	10	0.157	306.6445	35.6	14.489	0.002	0.2
1931	2	1	NA	0.015	306.9672	21.1	14.136	0.006	0.2
1932	2	0	13	1.325	307.303	11.1	14.006	0.01	0.22
1933	2	0	5	0.416	307.6635	5.5	14.787	0.003	0.2
1934	2	0	37	-2.694	308.0582	8.7	15.243	0.001	0.2
1935	2	0	-11	1.04	308.4879	36.1	14.35	0	0.2
1936	2	0	12	-0.552	308.9476	79.7	14.685	0	0.2
1937	2	0	3	0.43	309.4196	114.4	14.229	0	0.2
1938	2	0	3	0.931	309.8808	109.6	15.048	0	0.2
1939	2	0	16	-1.74	310.2987	88.8	14.973	0	0.2
1940	2	0	32	-1.08	310.6366	67.8	13.652	0	0.2
1941	2	0	19	1.902	310.8735	47.5	13.95	0	0.2
1942	2	0	5	1.221	311.0148	30.4	14.303	0	0.2
1943	2	0	8	-0.93	311.0723	16.3	14.638	0	0.2
1944	2	0	2	0.311	311.078	9.7	14.899	0	0.2
1945	2	0	-5	0.431	311.0677	33.2	14.545	0	0.2
1946	2	0	3	-1.302	311.079	92.6	14.796	0	0.2
1947	2	0	-12	0.489	311.1283	151.6	13.652	0	0.2
1948	2	1	NA	-0.124	311.2316	136.3	14.554	0	0.2
1949	2	0	11	1.261	311.3967	134.7	14.592	0	0.2
1950	2	0	-3	-0.624	311.6149	83.9	15.085	0	0.2
1951	2	0	12	-0.97	311.8748	69.4	14.099	0	0.2
1952	2	0	4	1.412	312.183	31.5	14.527	0	0.2
1953	2	0	24	0.024	312.5505	13.9	14.015	0	0.2
1954	2	0	3	-0.871	312.9866	4.4	14.871	0	0.2
1955	2	0	12	-0.112	313.4854	38	14.368	0	0.2
1956	2	0	-7	-1.526	314.0156	141.7	14.554	0.005	0.2
1957	2	0	24	0.52	314.5505	190.2	14.294	0.001	0.2
1958	2	0	14	1.804	315.1034	184.8	14.62	0	0.2
1959	2	0	24	-0.855	315.6873	159	15.066	0	0.2
1960	2	0	12	0.345	316.2962	112.3	14.582	0	0.2
1961	2	1	NA	-0.873	316.9137	53.9	15.038	0	0.2
1962	2	0	12	0.934	317.5256	37.5	14.573	0	0.2
1963	2	0	36	-0.626	318.137	27.9	14.471	0.04	0.35
1964	2	0	14	-0.944	318.7672	10.2	14.415	0.055	0.38
1965	2	0	2	1.418	319.4374	15.1	14.545	0.03	0.31
1966	2	0	-4	-0.163	320.1606	47	14.322	0.01	0.22
1967	2	0	-7	-0.693	320.9385	93.8	14.936	0.003	0.2
1968	2	0	8	0.478	321.771	105.9	14.564	0.001	0.2
1969	2	0	-11	0.957	322.6602	105.5	13.475	0	0.2
1970	2	0	5	0.288	323.6044	104.5	14.796	0	0.2
1971	2	1	NA	-1.466	324.5984	66.6	14.052	0	0.2
1972	2	0	15	-0.588	325.6403	68.9	14.582	0	0.2
1973	2	0	-7	2.052	326.732	38	14.415	0	0.2
1974	2	0	13	-1.747	327.8725	34.5	14.815	0	0.2
1975	2	0	12	1.212	329.0619	15.5	14.88	0.024	0.29
1976	2	0	-2	-0.094	330.3074	12.6	14.536	0.015	0.25
1977	2	0	22	-1.576	331.6139	27.5	14.722	0.006	0.2
1978	2	1	NA	0.27	332.9802	92.5	14.778	0.002	0.2
1979	2	0	18	1.87	334.3961	155.4	14.768	0.001	0.2
1980	2	0	-1	-0.827	335.8481	154.6	15.029	0	0.2
1981	2	0	17	-0.856	337.321	140.5	13.838	0	0.2
1982	2	0	23	-0.565	338.8044	115.9	15.271	0.048	0.37
1983	2	0	5	1.653	340.2969	66.8	15.001	0.079	0.43
1984	2	0	5	0.203	341.7973	45.7	15.782	0.03	0.31
1985	2	0	6	-0.089	343.3018	18	14.871	0.011	0.22
1986	2	1	NA	-0.409	344.8094	13.4	15.196	0.004	0.2
1987	2	0	41	1.672	346.316	29.4	14.434	0	0.2
1988	2	1	NA	-0.73	347.8117	100.2	15.215	0	0.2
1989	2	0	25	-1.475	349.281	157.6	14.824	0	0.2
1990	2	0	23	-0.998	350.7144	142.6	14.973	0	0.2
1991	2	1	NA	-0.109	352.1146	145.7	15.066	0.037	0.34
1992	2	1	NA	1.379	353.4944	94.3	14.359	0.131	0.51
1993	2	1	NA	1.873	354.8775	54.6	14.889	0.053	0.38
1994	2	1	NA	-1.652	356.2925	29.9	15.531	0.02	0.27
1995	2	0	11	0.531	357.7644	17.5	14.75	0.007	0.2
1996	2	0	22	-0.758	359.3041	8.6	14.396	0.001	0.2
1997	2	0	10	-0.393	360.9143	21.5	14.61	0	0.2
1998	2	0	11	0.977	362.5939	64.3		0	0.2
1999	2	1	NA	1.434	364.3333	93.3		0	0.2
2000	2	0	15	-1.019	366.1165	119.6		0	0.2
2001	2	1	NA	0.065	367.9384	111			
2002	2	0	5	-1.078	369.801	104			
2003	2	0	14		371.6988	63.7			
2004	2	1	NA		373.618	40.4			
